lang,f1_macro,accuracy,support
amh,0.6927002551658578,0.7771084337349398,166
arb,0.8101123595505618,0.8106508875739645,169
ben,0.8095978095978096,0.8132530120481928,166
deu,0.6740886620312688,0.6792452830188679,159
eng,0.7780859916782247,0.80625,160
fas,0.8491406439118858,0.8841463414634146,164
hau,0.7271794871794872,0.8956043956043956,182
hin,0.7750410509031198,0.8832116788321168,137
ita,0.6922237975787982,0.6927710843373494,166
khm,0.6230669850839761,0.9126506024096386,332
mya,0.8725413060582219,0.875,144
nep,0.8798076923076923,0.88,100
ori,0.7028283611003487,0.7796610169491526,118
pan,0.8099809980998101,0.81,100
pol,0.7448542024013722,0.7478991596638656,119
rus,0.740301769427983,0.7784431137724551,167
spa,0.6654377880184332,0.6666666666666666,165
swa,0.8017649431579641,0.8022922636103151,349
tel,0.7765151515151515,0.7796610169491526,118
tur,0.8521291884123743,0.8521739130434782,115
urd,0.6935411020776874,0.7401129943502824,177
zho,0.8924646610299097,0.8925233644859814,214
