text,polarized,notes
God is with Ukraine and Zelensky,Yes,Religious bias in favor of Ukraine.
"4 Dems, 2 Republicans Luzerne County Council seatsDallas",No,Neutral election report.
Abuse Survivor Recounts Her Struggles at YWCA Event,No,Neutral event report.
"After Rwanda, another deportation camp disaster",Yes,Criticizes deportation policies by comparing to Rwanda.
Another plea in Trump election interference probe,No,Neutral news.
any number of southern red states tbh,Yes,Casual derogatory reference to red states.
Breitbart is the new age grocery aisle tabloid,Yes,Insults Breitbart as tabloid.
"Congressman talks border security, debit limit",No,Neutral headline.
Cooke Co. GOP incumbents announce reelection runs,No,Neutral announcement.
Could one overwhelm the iron dome?,No,Neutral question about military capability.
Dan PatrickDade Phelan feud in Texas GOP threatens,No,Neutral news about political feud.
Democrats meet in Plymouth for moderated gubernatorial,No,Neutral meeting report.
"Election fraud did not go away, it is here. Every American must vote to overcome the election fraud. 2022 and 2024.",Yes,Promotes election fraud conspiracy.
"Faculty , educate students on the IsraelHamas war",No,Neutral call for education.
"GOP defense budgets abortion, diversity limits draw Biden",No,Neutral headline.
GOP lawmakers ramp up pushback on Snake River dam,No,Neutral political action.
Guilford County GOP Congratulates New School Board,No,Neutral congratulations.
"Hamas has nobody else to rescue them. Its over! Hamas says Gaza ceasefire deal closer than ever before Qatar, along with the UnitedStates and Egypt, has been involved in months of behindthescenes negotiations for a Gaza truce and hostage release f24.myAoqd.X",Yes,Gloating over Hamas's situation.
"Hamas indicates ceasefire deal is close, if Israel stops adding new conditions @URL",No,Factual statement.
Hamas struck first and is a terrorist group. Stop the use of human beings as human shields and then well talk.,Yes,"Labels Hamas terrorist, accusatory language."
Harshbarger nominates VonCannon for GOP awardCitizen,No,Neutral nomination.
House GOP accuses President Biden of influence,No,Neutral accusation report.
"How Pam Bondi boosted Trumps election fraud claims in a key swing state, via @URL",Yes,Related to election fraud narrative.
I wish she hmu like these early voting ppl is.,No,"Personal wish, not polarized."
"In Gaza, a different view of the Hamas raid on IsraelThe Christian Science Monitor",No,Neutral headline.
Is Biden in trouble with Democrats over Gaza?,No,Neutral question.
Israel imposes complete siege of Gaza Hamas threatens,No,Neutral news.
IsraelHamas temporary truce day 1 recap,No,Neutral recap.
Israeli leader took the pants off U.S. president @URL,Yes,Mocking US president.
"Israeli strikes kill at least 37 Palestinians, most in tents",No,Factual reporting.
Ken Paxton blasts fellow Republicans and floats Cornyn,No,Neutral news.
Lev Parnas says no Joe Biden fraud in Ukraine,No,Factual statement.
linguistics sociolinguist Paul Kerswill on The Cockney Yiddish Podcast on language and immigration,No,Neutral podcast description.
National Enquirer tabloid that buried Donald Trump stories,Yes,Implies scandal with Trump stories.
National Police Week: Union Deputy and New Albany Officers Honored,No,Neutral honor report.
Nebraska Gov. Pillen's Back-to-Office Order Raises Concerns,No,Neutral order report.
New Spot Built with Focus on Training Service Dogs,No,Neutral spot report.
Nexus Services Inc. owners found in contempt as sanctions,No,Neutral legal news.
Northwestern students honor Israeli hostages on Deering,No,Neutral student action.
"Not all the Nazis were from Germany, either There were also Austrian Ukrainian nazis, for example",Yes,Inflammatory comparison to Nazis.
"Not really ironic considering Zelensky is proIsrael, but I see your point.",No,Mild opinion.
Political ads on fentanyl and border security dont tell the whole story,Yes,Criticizes political ads as incomplete.
"pro palestine march, media city, 2021 kodak gold instagram @URL savegaza palestine savepalestine propalestine photography shootfilm",Yes,Supports Palestine with hashtags.
Putin makes Putin behave like this,No,"Unclear, neutral."
Quite a few since 24 Feb because they were Russian supporters of the Ukraine invasion.,Yes,Polarized against supporters of invasion.
Raleigh residents push for ceasefire in Gaza,No,Neutral push report.
Republicans celebrate local victories in Rockingham,No,Neutral celebration.
"Say ""open borders"" thats all I need to hear.",Yes,Dismissive of open borders.
"Shes been on Fox News, OAN, and Breitbart. Yeah, shes real...",Yes,Sarcastic about credibility.
SO WHY IS THE US SENDING THEM SO MUCH MILITARY AID THEN,Yes,Questions military aid emphatically.
Springfields Haitian community reacts to Trumps mass deportation threats @URL,No,Neutral reaction report.
St. Johnsbury Hires New Police Chief,No,Neutral hiring.
"stands up for parents, holding criminals accountable, border security and legal immigration",Yes,Political slogans for conservative values.
Suspicions of voter fraud raised in Clerk of Court,No,Neutral suspicions report.
Texas AG Ken Paxton acquitted in impeachment trial,No,Neutral acquittal.
Thanks to President Biden for obtaining 1.5 billion from Mexico for border security.,Yes,Positive towards Biden's action.
There Are Voices To Be Heard Before the Vacated LSHA Position Filled,No,Neutral position filling.
This is a lie. Carter said no apartheid existed in Israel but existed in the West Bank. The West Bank isnt Israel,Yes,"Calls statement a lie, defends Israel."
This Israeli bourbon is made from Kansas corn mashed,No,Neutral product description.
Who stopped the counting at 3 am in the swing states? Who ..?? You know..you absolutely know..,Yes,Implies election conspiracy.
Why does America still need the Electoral College?,No,Neutral question.
Will Kamala Harris bail him out?,No,Neutral question.
WIP US USA Trump Inauguration GOP,No,Neutral acronyms.
Wisconsin Republicans float bill to designate state,No,Neutral bill report.
You mean the early voting locations?,No,Neutral question.
You think Trump is for open borders?,No,Neutral question.
Are u still working tirelessly for that ceasefire,No,Neutral question.
Boy CNN is the new FOX news,Yes,Compares CNN to Fox negatively.
Democrats are not liberals actually.,Yes,Opinion on political labels.
"Exactly. And on starlink service contracts. The add it to whiskey, and select products produced in red states.",Yes,Political commentary on products.
Great Barrier Reefs current suffering represents a place at Polling Places Highly In other assaults,No,"Garbled, neutral."
HelpRefugees_Indonesia It has been a decade that refugees are living in uncertainty. Please help Refugees.,Yes,Advocacy for refugees.
Is this Russian invasion or NATO expansion?,Yes,"Frames as NATO expansion, biased."
Israeli PM meets ministers reax to possible ceasefire Israel,No,Neutral meeting.
Mike Pence is such a nerd,Yes,Insults Mike Pence.
"More than 8,000 people have been arrested by federal immigration authorities since Trumps inauguration",No,Factual arrest numbers.
Oh right I forgot this movie had an illegal immigration subplot,No,Neutral movie comment.
"Other than patriotism and national identity, what are legitimate reasons why Canada should not be a part of the Genuinely curious.",No,Neutral question.
The US is accepting Ukrainian refugees,No,Factual.
"The White House announces 800 M additional military aid to Ukraine, including 11 Mi17 helicopters.",No,Factual announcement.
This from Mike Pence! I mean Im quoting Mike Pence!!,Yes,Exclamatory surprise.
im in my ceasefire era,No,Personal statement.
"""BREAKING The US is bombing civilians in Yemen as Israel commanded"" genocide Genocide Joe. Genocide Kamala. x.comPartisangirl...",Yes,"Accuses genocide, strong anti-US."
A Federal Investigation needs to be launched against TWITTER Fraud and Election Interference,Yes,Calls for investigation on fraud.
And Zionism is a genocidal psychopathic death cult.,Yes,Extreme attack on Zionism.
Biggs. Youre extreme right wing agenda is wrong for America.,Yes,Attacks right-wing agenda.
Black Men in U.S. Face Endless Police Horror Stories,Yes,Highlights racial police issues.
"But ""they"" pushed ""defund"" the police?",Yes,Sarcastic about defund the police.
"Do Your Job Kamala, Close The Wide Open Borders.",Yes,Commands Harris on borders.
Donald Trump is escalating his rhetoric as he runs,No,Neutral on rhetoric.
"Fukin cheaters...Trump was 600,000 in PA alone and all swing states he was up in by A LOT!",Yes,Accuses cheating in election.
"Go on, read it. Show me the federal governments jurisdiction over state polling places.",Yes,Challenging on jurisdiction.
Good. Im tired of my taxes funding red states.,Yes,Anti-red states funding.
"I am getting my news from MSNBC and the Meidas Touch network. Believe me, I understand Project 2025.",Yes,Defensive on news sources.
I dont remember voting to have open borders either.,Yes,Anti-open borders.
I guess Steve didnt get the memo that the red states historically take more handouts than the blue states.,Yes,Sarcastic on red states handouts.
"I have a weird point to mention but I always feel like when they say Christian Nationalism, it needs an additional word, White Christian Nationalism. Theres no place for brown people or black churches or Hispanic or liberal in the WCN movement.",Yes,Criticizes as White Christian Nationalism.
"I imagine reasonable Germans in the 1940s who were not adherents to Nazism when Hitler started implementing his extreme policies felt about the same surreal feeling as Americans who are not adherents to ""Trumpism"" are feeling now.",Yes,Compares Trumpism to Nazism.
Leave occupied territories and stop recruiting young adults for your apartheid state,Yes,"Anti-Israel, calls apartheid."
"Long live Mother Russia. Listen to my advice since youve already lost the war, Ukrainian Nazis, stop crying and focus on removing the tattoos from your wretched bodies before the Nazi hunters find you. And instead of donating to the Nazis, save your money for an emergency. Peace!!!",Yes,"Pro-Russia, calls Ukrainians Nazis."
Modern day genocide and ethnic cleansing with impunity,Yes,Accuses genocide.
NATO countries doesnt have balls to interfere They will only shout Sanctions Sanctions,Yes,Mocks NATO.
Netanyahu and the IDF are committing genocide,Yes,Accuses genocide.
No it cant. The radical left is a House of Cards.,Yes,Anti-radical left.
NO! Mail in ballots and early voting NEEDS to stop!,Yes,Opposes mail-in voting.
"Not all show. Rejected iron dome funding and pushed genocide blood libel, so shes your gal, I suppose.",Yes,Accuses genocide libel.
"PRESIDENT TRUMP HAPPY THANKSGIVING TO ALL, Including To The Radical Left Lunatics Who Have Worked So Hard To Destroy Our Country, But Who Have Miserably Failed, And Will Always Fail, Because Their Ideas And Proud To Be An American!",Yes,Attacks radical left.
