text,polarized,
और इस तरह बीजेपी ने अपना इस्लामीकरण कर लिया,Yes,
ओरीजनल हिंदुत्व यही है ।,Yes,
हिंदुत्व की चर्बी उतर गई,Yes,
हिंदू एवम हिंदुत्व जाग रहा है। जय श्री राम,Yes,
बोल अपने आका को हिन्दू और हिंदुत्व है .......घृणा ना रखे 50+,Yes,
🕉️🛕🚩 सनातन हि सत्य है 👉 बाकी सभी झूठ 🕉️🚩 जय हिंदुत्व जय श्री कृष्ण ⚔️🗡️⚔️,Yes,
"""हम बालासाहेब के पक्के शिवसैनिक हैं , बालासाहेब ने हमें हिंदुत्व सिखाया था।"" : एकनाथ शिंदे",No,
"सुअर का मास भी हद है स्मृति जी, किस मुह से हिंदुत्व की बात करती हो !",Yes,
"माफ करना भाई......विनोद अब 5G का फायदा उठा कर ""हिंदुत्व"" फिल्म देख रहा है ।",Yes,
कट्टर हिंदुत्व वादी पार्टी मिलते ही कोर वोटर भाजपा के कैपिटल में L लगाने को तैयार बैठा है ।,Yes,
जाति नहीं हिंदुत्व को सपोर्ट हैं और तुम सिर्फ एक जातिवादी परिवार को M+Y को जोड़ कर राज करना चाहता है..,Yes,
"हताशा का आलम देखिये , सिंह की सूरत भी हिंदुत्व का अहसास कराने लगी है 🤣 गधे को सिंहासन की इच्छा और सिंह की मूर्ति अनावरण पर भी आपत्ति।।",Yes,
लाखों लोगो को बचाया है बापू ने धर्मांतरण से #BapujiAgainstConversion,Yes,
बरेली में धर्मांतरण का मामला गरमाया जोगी जल्दी ठंडे बस्ते में जाने की उम्मीद है,Yes,
"चार औरतों का प्रलोभन देकर साजिश धर्मांतरण के लिए, ऊपर से 72 हूरों का गिफ्ट वाउचर",Yes,
"धर्मांतरण बैन होना चाहिए करना ही है तो मौत की प्राप्ति करो,फिर जिस धर्म में पैसा होने का मन हो पैदा होवो 🤐",Yes,
रोहिंग्या घुसपैठिये दंगाईयो को बसा कर वोटबैंक के चक्कर में दिल्ली को बर्बाद कर दिया अब पंजाब नहीं संभाल पा रहे हैं 🤡,Yes,
"Yes मित्र , बीजेपी मुसलमानों से वोट मांगती नहीं , मुसलमान वोट देता नहीं तब फिर मुसलमानों को उससे अपेक्षा क्यों ?",Yes,
दुनिया के मुसलमानों की असली दुश्मन पाकिस्तान सरकार है जो इतना घिनौना और गंदा काम करके मुसलमानों को बदनाम करती है,Yes,
मुसलमानों के लोकतांत्रिक आंदोलन पर अत्याचार करना बंद करो #StandWithAfreenFatima,Yes,
"मुसलमानों की ताकत उनकी तादाद नहीं, बल्कि उनका ईमान है... ❤️❤️💪🏻",Yes,
दाढ़ी सफेद होती तो हज़ारों मुसलमानों का हत्यारा लगता,Yes,
अखिलेश जी आप तो मुसलमानों के दलाल बन गए हो।,Yes,
अबे चु. मुसलमानों ने वेस्ट बंगाल में कोहराम मचा रखा है।,Yes,
हजारों मुसलमानों को गिरफ्तार कर रहे हैं पर एक नुपुर शर्मा को नहीं.. #ArrestNupurSharma,Yes,
"जनाब कुरान ओर हदीस की बातों पर ही मुसलमानों को अपनी जिंदगी जीना है,",Yes,
सेकोलेर दलों ने मुसलमानों को तेज पत्ता बना रखा है और वो शौक़ से बने हैं,Yes,
तुम्हारे जैसे नमक हराम तब भी थे इसीलिए उन्ही मुट्ठी भर मुसलमानों से जा मिले थे!!,Yes,
सुन रहे हो ना विनोद ! वो कह रहे है कि महंगाई झेल लो वरना मुसलमानों का राज आ जायेगा !,Yes,
पसमांदा मुस्लिमो को अपनी गोश्त की दुकान तो खोलने दो पहले। मुसलमानों का ये तबका भूकमारी की कगार पर हैं।,Yes,
इससे बड़ी शर्म की बात और क्या हो सकती है आज पाकिस्तान मौलवी हिंदुस्तान के मुसलमानों को ज्ञान दे रहा है,Yes,
भारत में मनुस्मृति की कभी वो जगह नहीं रही जो ईसाइयों के लिए बाइबिल की थी और मुसलमानों के लिए कुरान की...!!,Yes,
"ये गांधी नेहरू की तो देन है, जब जात और मजहब के नाम पर देश का बटवारा किया, तो मुसलमानों को भेजा क्यों नही पाकिस्तान..",Yes,
वैसे भी वो बुर्का है,Yes,
जिहाद,Yes,
इन जाहिलों को जिहाद का मतलब भी नहीं पता होगा बस शब्द याद कर लिया है जिहाद दिन भर जिहाद की माला ज़ब्ते रहते है,Yes,
ऐलान-ए-जिहाद होता है।,No,
"ओ...........ओ, थूक जिहाद का प्रायश्चित!",Yes,
फिर क्या लव जिहाद करोगे ?,Yes,
जिहाद क्या है पहले ये तो पता चले।,No,
हिंदू नाम रख कर लब जिहाद के धंधे में शामिल हैं ।,Yes,
काफिर कौन है? जिहाद क्या है?? एक काफिर के लिए क्या सजा निर्धारित है ???..,Yes,
🙏 #BoyCottLulluMallलखनऊ में लव जिहाद के अड्डे लुल्लू मॉल का सभी हिंदुओं को पूर्ण बहिष्कार करना चाहिए। #BoyCottLulluMall,Yes,
"हम उस देश में रहते जहां आज भी हलाला, ट्रिपल तलाक, जिहाद, पत्थर और फतवे चल रहे हैं....?",Yes, etc.
कौन सा गोबर खाते हें ये पढ़े लिखे लोग जो इतना सब जानने और सुनने के बाद भी लव जिहाद के चकर मै पढ़ते हें,Yes,
"मन्दिर में रमजान करने वाले मस्जिद के अंदर सुंदर कांड का पाठ भी करवाएं ,हनुमान जी की मूर्ति रखकर। यदि नहीं तो ये सेकुलरिज्म नहीं जिहाद है।",Yes,
लो राजनीति करने का नया मुद्दा हो गया हिजाब पहले ही लव जिहाद कम नहीं पढ़ रहा था. #Dharti bati sagar bata mat bato insan ko.. #JaiHind,Yes,
जरूर झटका लगेगा,Yes,
"हारने से मतलब नहीं है, इसके दिमाग़ में तगड़ा झटका लगा है",Yes,
"तो फिर एक वार जोर से झटका दे, फिर देखे ओ कभी सटे। 🤬🤬",Yes,
मतलब आज से पहले कोई जोर का झटका मार ही नहीं पाया था,Yes,
440 बोल्ट का दो झटका सुबह और शाम देने से पुरानी से पुरानी यादस्थ वापस आ जाती है।,Yes,
ज़ोर का झटका ज़ोर से लगा ने को छोड़ दिया से राज्यसभा का नामांकन भरा.अब क्या,Yes,
"75वें इंडिपेंडेंस स्पेशल मैच में हर्शल गिब्स का खेलना, कश्मीर प्रीमियर लीग के खिलाफ BCCI के रुख को बड़ा झटका Boycott SauravGanguly For LLC",Yes,
इधर आप ज्ञानवापी में उलझे रहे उधर LIC को 50000 करोड़ का झटका लग गया जो दूसरों को डूबने से बचाती थी आज खुद डूब रही है,Yes,
मियां अंजुम ये हलाल है कि हराम?,Yes,
अगर covaxin का जिक्र कुराण्ड में है तो हलाल है,Yes,
हराम और हलाल चीज़ों में कोई लेबल नहीं लगी होती..! जो चीज़ फ़र्क करवाती है वो है खौफ-ए-खुदा 🙋,No,
हलाल के नाम पर एक राT के लिए तू लेके चला जा बेT चूD गच्चा गच यू तरस क्यों रहा हैं 😂😂😂😂,Yes,
और हलाल ये सब किया है इस के लिए तुम किसी की जान लेलो गे हद है शयतानी की,Yes,
"हथि'यारों से नही, यूरोप की साज़िश से इस्लाम की कमर (तख्त) टूट गई और मुल्ले, प्रिंटिंग प्रेस के हराम हलाल पर बहस करते रहे...।",Yes,
"#ZeeNews #Shorts: ड्रग्स, धर्मांतरण, हिंदू बेटियां टारगेट | Hindu | Women | Viral #Shorts: ड्रग्स, धर्मांतरण, हिंदू बेटियां टारगेट | Hindu | Women | Viral #Shorts: ड्रग्स, धर्मांतरण, हिंदू बेटियां टारगेट | Hindu | Women | Viral #hindu #women #religiousconversion #trending About Channel: ज़ी न्यूज़…",Yes,
"#ZeeNews Balrampur Conversion Case: छांगुर के धर्मांतरण गैंग में वर्दीवाला दोस्त हुआ सस्पेंड। UP News Balrampur Conversion Case: छांगुर के धर्मांतरण गैंग में वर्दीवाला दोस्त हुआ सस्पेंड। UP News धर्मांतरण के खेल में गिरफ्तार छांगुर के कितने साथ थे, इसको लेकर लगातार बड़े खुलासे हो रहे हैं..और एक्शन…",No,
#ZeeNews Debate On Religious Conversion: कैमरे पर पीड़िता ने दिया अवैध धर्मांतरण का सबूत!| Hindu vs Muslim Debate On Religious Conversion: कैमरे पर पीड़िता ने दिया अवैध धर्मांतरण का सबूत!| Hindu vs Muslim Debate On Religious Conversion: कैमरे पर पीड़िता ने दिया अवैध धर्मांतरण का सबूत! | Hindu vs…,Yes,
#ZeeNews UP Hindu Conversion News: धर्मांतरण..अबू तालिब के परिवार ने जो बताया सुन सब हैरान! | Muzaffarnagar UP Hindu Conversion News: धर्मांतरण..अबू तालिब के परिवार ने जो बताया सुन सब हैरान! | Muzaffarnagar Hindu Conversion In Muzaffarnagar: उत्तर प्रदेश के मुजफ्फरनगर ज़िले में एक बड़े धर्मांतरण…,No,
